"cid","appName","mechanism","version_n","vul_n","start","exploit","t50","t90","t95","mu","sigma","r2"
"thunderbird_017","thunderbird","PI",1,0,1505,FALSE,2,80,618,0.220377186010261,0.0219313761052556,0.99802749619205
"thunderbird_019","thunderbird","PI",20,0,319,FALSE,269,Inf,Inf,0.0275875525914456,0.000846813104865292,0.991226105871638
"thunderbird_021","thunderbird","PI",22,0,439,FALSE,151,1136,Inf,0.0361892625411803,0.00172079611280226,0.994147334017277
"thunderbird_024","thunderbird","PI",3,0,975,FALSE,20,Inf,Inf,0.0505943923349744,0.00203212037195457,0.998526808938797
"thunderbird_025","thunderbird","PI",6,0,928,FALSE,68,Inf,Inf,0.0315843206402292,0.00096708844524829,0.99623334243228
"thunderbird_027","thunderbird","PI",1,0,1746,FALSE,6,65,Inf,0.0998212218072801,0.00465760915699014,0.999248712660742
"thunderbird_028","thunderbird","PI",9,0,1202,FALSE,48,Inf,Inf,-0.0187029907888784,-0.0067056807589764,0.991489985438626
"thunderbird_029","thunderbird","PI",8,0,1151,FALSE,41,Inf,Inf,0.0252799463877245,-0.000245372442886826,0.996111601340193
"thunderbird_030","thunderbird","PI",29,0,810,FALSE,Inf,Inf,Inf,-0.00111462468208068,-0.00149885171491345,0.992972447732289
"thunderbird_033","thunderbird","PI",12,0,439,FALSE,133,Inf,Inf,0.0367190670581553,0.00174354642001373,0.994156912377572
"thunderbird_035","thunderbird","PI",14,0,595,FALSE,44,Inf,Inf,0.0446297146674529,0.002252037484628,0.996973825058282
"thunderbird_042","thunderbird","PI",14,0,1032,FALSE,40,Inf,Inf,0.0668136520688109,0.00603134433023176,0.999059097845618
"thunderbird_046","thunderbird","PI",5,0,1019,FALSE,27,Inf,Inf,0.0417170851932666,0.00111942035494006,0.996257815729444
"thunderbird_048","thunderbird","PI",1,0,928,FALSE,39,Inf,Inf,0.0474327169116223,0.00240900862215651,0.998095132291973
"thunderbird_051","thunderbird","PI",1,0,158,FALSE,Inf,Inf,Inf,0.00100315719900637,5.25298060801732e-05,0.991445960267799
"thunderbird_052","thunderbird","PI",8,0,205,FALSE,328,Inf,Inf,0.0535442325992566,0.00515488809200662,0.998062741553945
"thunderbird_055","thunderbird","PI",7,0,928,FALSE,91,Inf,Inf,0.0290555251334609,0.000934999162047903,0.996149533160712
"thunderbird_056","thunderbird","PI",17,0,125,FALSE,864,Inf,Inf,0.0127865419179109,0.00141364763370563,0.997147779250802
"thunderbird_057","thunderbird","PI",16,0,110,FALSE,993,Inf,Inf,0.000755522624552464,-6.35895947200315e-05,0.987190495767038
"thunderbird_061","thunderbird","PI",18,0,205,FALSE,357,Inf,Inf,0.052416339495908,0.00505168895661138,0.998031408478987
"thunderbird_062","thunderbird","PI",1,0,125,FALSE,768,Inf,Inf,0.024284024127453,0.00244660631335532,0.99697247928773
"thunderbird_063","thunderbird","PI",23,0,535,FALSE,78,698,Inf,0.0366332663194614,0.00163578656631048,0.994842762599486
"thunderbird_065","thunderbird","PI",25,0,801,FALSE,33,524,Inf,0.0333668185732249,9.74425216310999e-05,0.993211517989297
"thunderbird_072","thunderbird","PI",7,0,1451,FALSE,37,634,Inf,-0.000390390256441734,0.000219417567949429,0.993812104693148
"acroread_001","acroread","PD",19,4,1562,FALSE,38,141,149,0.0382097417716151,0.00190084002791208,0.999671765091194
"acroread_002","acroread","PD",49,1,652,TRUE,239,413,413,0.00370433214252146,7.29420531228893e-05,0.999837005165592
"acroread_003","acroread","SU",29,4,1471,FALSE,21,120,152,0.0522946237962044,0.00270142365930101,0.999693309410853
"acroread_004","acroread","PD",16,1,1262,FALSE,Inf,Inf,Inf,0.0140296476894496,0.00103886972674693,0.999728397670134
"acroread_005","acroread","PD",2,1,498,TRUE,144,554,594,0.0259601770104214,0.000558579997861386,0.980514201787334
"acroread_007","acroread","PD",21,19,652,TRUE,250,351,362,0.00355545060935197,4.49887541391815e-05,0.999847876946712
"acroread_008","acroread","SU",9,1,1352,FALSE,14,142,193,0.0786740647485108,0.00582702845266302,0.999539099291598
"acroread_009","acroread","PD",28,1,1446,FALSE,38,138,171,0.0137249738077224,0.00145685081218892,0.995555973973983
"acroread_011","acroread","PD",15,1,744,FALSE,136,297,334,0.00118129007669593,0.000238977213429959,0.992434463933844
"acroread_012","acroread","SU",22,1,1261,FALSE,25,179,228,0.0434785280836695,0.00172162266638832,0.999513680100866
"acroread_014","acroread","PD",2,1,962,TRUE,28,76,136,0.0512641264105912,0.00494340316322517,0.996580348571615
"acroread_015","acroread","PD",24,21,1009,TRUE,31,162,255,0.0391664807170106,0.00193619063974744,0.999497431969351
"acroread_016","acroread","PD",19,14,526,FALSE,363,476,488,0.00170632565616024,4.99092292098112e-05,0.999806474955003
"acroread_019","acroread","PD",44,2,210,TRUE,79,651,895,0.000109598629097111,8.74434933809234e-06,0.995661301157004
"acroread_020","acroread","SU",7,1,1261,FALSE,22,249,401,0.0537756020854736,0.00287735901752227,0.999374106780354
"acroread_021","acroread","SU",34,20,1688,FALSE,14,111,134,0.0681491188941132,0.00405087970812716,0.99975173728547
"acroread_022","acroread","PD",18,15,834,TRUE,123,243,290,0.0224519960691729,0.00168798995549634,0.999378923245253
"acroread_023","acroread","PD",10,1,1009,FALSE,26,108,120,0.0431877958955878,0.00207220500325409,0.999558129859847
"acroread_025","acroread","PD",87,1,1352,FALSE,Inf,Inf,Inf,0.00133405863926552,8.61307825061522e-05,0.999497305992333
"acroread_026","acroread","PD",1,1,275,TRUE,579,Inf,Inf,-0.00251263899958068,-0.00238220575774391,0.967071122970389
"acroread_027","acroread","PD",16,1,1352,FALSE,56,246,276,0.033351027803836,0.00175704926265656,0.999627727520357
"acroread_028","acroread","PD",20,14,911,TRUE,86,186,222,0.0263567761932914,0.00186608937145346,0.999334016845165
"acroread_029","acroread","PD",1,6,309,FALSE,542,Inf,Inf,0.0010676607480562,2.32276964708852e-05,0.998969641264469
"acroread_030","acroread","PD",16,1,1176,TRUE,50,177,238,0.0366960529635955,0.00225382608330732,0.999598484240713
"acroread_031","acroread","PD",14,8,744,TRUE,167,275,286,0.00650432362775944,0.000248486736961844,0.999948448326354
"acroread_034","acroread","PD",45,2,309,TRUE,663,Inf,Inf,0.00102516310105621,8.09628616481688e-06,0.999547105193233
"acroread_035","acroread","PD",11,1,1051,TRUE,19,98,134,0.0551492621656204,0.00282912985548813,0.999686874583024
"acroread_036","acroread","SU",38,11,1261,FALSE,33,226,300,0.03918704176876,0.00166285427950213,0.999488735670187
"acroread_037","acroread","PD",8,1,911,FALSE,85,133,144,0.0285051941407913,0.00201906653869832,0.999308904077021
"acroread_039","acroread","PD",19,2,1207,TRUE,58,184,248,0.0285232639712503,0.00149114370783397,0.998807177905302
"flashplayer_003","flashplayer","PD",88,2,1526,FALSE,40,85,93,0.0100817799695859,0.00170722066740559,0.998916291077713
"flashplayer_004","flashplayer","PD",72,14,1317,TRUE,37,Inf,Inf,0.0236991462921896,0.000184632261386729,0.999683423071783
"flashplayer_009","flashplayer","PD",12,4,289,FALSE,172,327,327,0.000551040184843298,-8.51440490884657e-05,0.99992754736667
"flashplayer_012","flashplayer","PD",60,12,1228,TRUE,39,111,131,0.0130393112754256,0.000321076977380778,0.999769867697977
"flashplayer_013","flashplayer","PD",68,1,1261,TRUE,31,179,545,0.0261969691763684,3.1681085918267e-05,0.999920422621226
"flashplayer_014","flashplayer","PD",20,1,578,TRUE,89,132,259,0.00508995071270135,-0.000150349341061465,0.999759297614213
"flashplayer_015","flashplayer","PD",80,12,1410,FALSE,49,150,157,0.0195885417468321,0.000289117007612831,0.999776632289349
"flashplayer_016","flashplayer","PD",25,2,773,TRUE,38,353,353,0.0173908386338712,-0.00076938984004255,0.989103326232002
"flashplayer_022","flashplayer","PD",2,1,207,FALSE,138,294,335,0.0337186145349294,0.00350494701505227,0.984200513607094
"flashplayer_023","flashplayer","PD",9,1,708,FALSE,54,358,358,0.00471744456973157,-0.000301803074822083,0.983827449888689
"flashplayer_027","flashplayer","SU",76,25,1743,FALSE,1,92,161,0.175227825710717,0.0200451077625937,0.978175593999645
"flashplayer_028","flashplayer","SU",99,7,1621,FALSE,15,18,21,-0.144750511839188,-0.0454260658822736,0.991821105096672
"flashplayer_029","flashplayer","PD",85,7,1507,TRUE,53,100,110,0.0133380714191698,-0.000218069258233608,0.998932082279871
"flashplayer_030","flashplayer","SU",90,1,1548,FALSE,23,69,77,0.0228545972076815,-0.000805333587656371,0.99913884443069
"flashplayer_031","flashplayer","SU",96,1,1586,TRUE,3,41,46,0.204178002355619,0.0250023986378823,0.997687042502884
"flashplayer_032","flashplayer","PD",57,1,1201,TRUE,22,75,87,0.0374887347010867,0.000683808199619876,0.999526973967209
"flashplayer_033","flashplayer","PD",53,1,1176,TRUE,15,58,68,0.0453028169124313,0.000893326475578846,0.999800262731308
"flashplayer_035","flashplayer","PD",62,1,1253,FALSE,27,108,198,0.0234112420660058,-0.00066597686386761,0.999930901869735
"flashplayer_036","flashplayer","SU",112,1,1695,FALSE,20,Inf,Inf,-0.00128472538790588,-0.00621154231056536,0.990873709160285
"flashplayer_037","flashplayer","PD",11,8,340,FALSE,Inf,Inf,Inf,8.83407743309095e-06,8.88562760656695e-07,0.990502469775568
"flashplayer_038","flashplayer","PD",51,13,1135,FALSE,12,29,34,0.113649177103932,0.0156562684052459,0.992500398690058
"flashplayer_040","flashplayer","PD",75,6,1360,FALSE,Inf,Inf,Inf,0.0232045129227369,0.00162125272402581,0.996562337830457
"quicktime_000","quicktime","PD",1,5,249,FALSE,646,1280,1353,0.00374459541766641,0.000424194327531656,0.985342251611544
"quicktime_002","quicktime","PD",104,1,147,FALSE,780,Inf,Inf,0.00125878525288336,0.000143663865113417,0.979076655054547
"quicktime_003","quicktime","PD",116,6,1072,FALSE,186,Inf,Inf,0.00662446181924998,-0.000508577710446931,0.999872205603479
"quicktime_005","quicktime","PD",108,7,388,FALSE,420,Inf,Inf,0.000372036920792353,-0.000118524228336454,0.995256704200523
"quicktime_007","quicktime","PD",117,7,1311,FALSE,169,Inf,Inf,0.00961601035826641,9.40147906765262e-05,0.999792488422355
"quicktime_008","quicktime","PD",19,5,256,FALSE,682,Inf,Inf,-0.00050521221484301,-0.000144675157920105,0.91784549157066
"quicktime_009","quicktime","PD",118,5,1395,FALSE,176,Inf,Inf,0.0127533924809787,0.000326585767739073,0.999777519352584
"quicktime_010","quicktime","PD",2,2,388,TRUE,314,974,1148,0.000344634165333519,-0.000182406678326448,0.993403683817246
"quicktime_012","quicktime","PD",84,1,989,TRUE,174,936,Inf,0.00507082097666306,-9.93801917992496e-05,0.999717251036618
"quicktime_013","quicktime","PD",109,8,518,TRUE,291,1317,Inf,0.00734206481074701,0.000304809266441773,0.999850457672165
"quicktime_014","quicktime","PD",114,1,956,TRUE,151,923,Inf,-0.00284114444882912,-0.000956324989488582,0.987280858710895
"quicktime_016","quicktime","PD",106,3,256,FALSE,676,Inf,Inf,-0.000508957556200939,-0.000145677763084387,0.917870928785544
"quicktime_017","quicktime","PD",2,3,351,FALSE,38,824,1510,-0.02597772365244,-0.00683985091610306,0.977539851960932
"quicktime_018","quicktime","PD",110,3,618,FALSE,268,1158,1430,0.00991637794459077,0.000511487908172546,0.999854742752229
"quicktime_019","quicktime","PD",120,9,1773,TRUE,Inf,Inf,Inf,0.0111762693856054,0.000346386350016174,0.99958577055022
"MS08-009","msword","PI",167,1,64,TRUE,38,117,237,0.0450592846774115,0.0114955501123699,0.960084573890652
